Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status;Gerado em
P10;Indice de absorção da carne Frigorifico Ap do Taboado;BELLO.PPE.0182.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Indice de absorção da carne Frigorifico Brazlandia;DF_AVES.PPE.0013.V1;Planejamento de Produção ao Estoque;DF AVES LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Indice de absorção da carne Frigorifico Itapora;MAR_E_TERRA.PPE.0135.V1;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Indice de absorção da carne Frigorifico Itapui;ASTRA.PPE.0015.V1;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Indice de absorção da carne Frigorifico Itaquirai;BELLO.PPE.0168.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Indice de absorção da carne Frigorifico Miraguai;MAIS_FRANGO.PPE.0027.V1;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Indice de absorção da carne Frigorifico Peixe Ap do Taboado;BELLO.PPE.0173.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Indice de absorção da carne Frigorifico Umuarama;PLUSVAL.PPE.0150.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção Aves em Recria PARA terceiros - Pluma Rib Bonito;PLUMA_AGRO.PPE.0334.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção Aves em Recria PARA terceiros - Pluma Rincao;PLUMA_AGRO.PPE.0342.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção Aves em Recria PARA terceiros - Pluma Rio Claro;PLUMA_AGRO.PPE.0340.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção Aves em Recria PARA terceiros - Pluma São Carlos;PLUMA_AGRO.PPE.0337.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção Aves em Recria PARA terceiros - Pluma Tiete;PLUMA_AGRO.PPE.0327.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção Aves em Recria PARA terceiros - Plumagen Birigui;PLUMA_GEN.PPE.0021.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção Aves em Recria PARA terceiros - Plumagen Campina Grande;PLUMA_GEN.PPE.0025.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Descongelamento - Bello Balsa Nova;BELLO.PPE.0179.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Descongelamento - Bello Eldorado;BELLO.PPE.0177.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Descongelamento - Mais Frango;MAIS_FRANGO.PPE.0021.V1;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Elaborados - Bello Eldorado;BELLO.PPE.0172.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Elaborados - Mais Frango;MAIS_FRANGO.PPE.0026.V1;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Massadas - Bello Eldorado;BELLO.PPE.0163.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Massadas - Mais Frango;MAIS_FRANGO.PPE.0025.V1;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Premix - Bello Balsa Nova;BELLO.PPE.0181.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Ordem de Produção (Embutidos) Premix - Bello Eldorado;BELLO.PPE.0175.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
