Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P3;Calculo das Taxas de Recursos;PLUSVAL.PPE.0058.V6;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Contabilização de Custos;BELLO.PPE.0052.V6;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Custo Gerencial Frango Vivo;BELLO.PPE.0165.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Indice de absorção da carne Frigorifico Ap do Taboado;BELLO.PPE.0182.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Indice de absorção da carne Frigorifico Itaquirai;BELLO.PPE.0168.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Indice de absorção da carne Frigorifico Peixe Ap do Taboado;BELLO.PPE.0173.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Descongelamento - Bello Balsa Nova;BELLO.PPE.0179.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Descongelamento - Bello Eldorado;BELLO.PPE.0177.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Elaborados - Bello Balsa Nova;BELLO.PPE.0161.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Elaborados - Bello Eldorado;BELLO.PPE.0172.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Massadas - Bello Balsa Nova;BELLO.PPE.0166.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Massadas - Bello Eldorado;BELLO.PPE.0163.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P3;Ordem de Produção (Embutidos) Premix - Bello Balsa Nova;BELLO.PPE.0181.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
